Pnum,Section,Owner,Mixed species,Species,State code,Closed,Clear date,Missing entire brood,Suspected predation,Lay date,April lay date,Lay date uncertainty,Lay date visit interval,Laying rate,Incubation started,Num broken eggs,Expected hatch date,Hatch date,April hatch date,Incubation duration,Total egg weight,Num eggs weighed,Clutch size,Num chicks,Num chicks ringed,April ring date,Ring day,Num live chicks,Num dead chicks,Num fledglings,Mean chick weight,Num linked pulli records,Num linked adult records,Father,Mother,Identified adults,Chick ids,Dead ringed chick ids,Experiment codes,Num eggs manipulated,Comments,Legacy average egg weight,Legacy max nest state code,Legacy last visit date,Legacy hatch age in days,Legacy april hatch date,Legacy predation,Legacy clutch accuracy,Legacy mean fledge weight,Legacy num ringed dead chicks
20201B1,b,Keith Mc Mahon,false,b,6,true,26-05-2020,,,25-04-2020,25,5,7,,,0,,,,,3.40,3,3,,0,,,,0,0,,0,0,,,,,,,0,fleas hopping around,,,,,,,,,
20201B10,b,Keith Mc Mahon,false,,6,true,26-05-2020,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B100,b,Keith Mc Mahon,false,b,6,true,26-05-2020,,,15-04-2020,15,0,6,,true,0,06-05-2020,04-05-2020,34,11,,,9,8,8,48,15,8,0,8,11.15,8,4,j215720,afh3098,"afh3098, 01103fb0ef, 01103fdb14",,,,0,not hatched,,,,,,,,,
20201B101,b,Keith Mc Mahon,false,b,6,true,26-05-2020,,,17-04-2020,17,0,6,1.00,true,0,07-05-2020,06-05-2020,36,12,3.50,3,8,8,8,50,15,8,0,8,11.81,8,4,and7457,afh3283,"afh3283, 011016b2af, and7457",,,,0,"not hatched female ringed, female seen on nest",,,,,,,,,
20201B102,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B103,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B104,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B105,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B106,b,Keith Mc Mahon,false,,6,true,26-05-2020,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B107,b,Keith Mc Mahon,false,,6,true,26-05-2020,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B108,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B109,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B11,b,Keith Mc Mahon,false,g,6,true,04-06-2020,,,16-04-2020,16,0,6,1.00,true,0,07-05-2020,06-05-2020,36,12,4.90,3,9,9,9,50,15,9,0,9,16.68,9,4,vz30774,vz30536,"vz30536, 0700edddc4, 0700edee5d",,,,0,not hatched,,,,,,,,,
20201B110,b,Keith Mc Mahon,false,b,6,true,06-06-2020,,,26-04-2020,26,0,7,1.00,true,0,16-05-2020,15-05-2020,45,11,3.70,3,9,6,2,59,15,2,4,2,7.95,2,3,,afh4072,"afh4072, 01103f3f7d",,,,0,,,,,,,,,,
20201B111,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B112,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B113,b,Keith Mc Mahon,false,b,6,true,04-06-2020,,,17-04-2020,17,0,6,1.00,true,0,06-05-2020,07-05-2020,37,13,3.40,3,8,7,7,51,15,7,0,7,11.73,7,1,,avl3037,avl3037,,,,0,"female unringed, not hatched both adults not ringed, not hatched, nothing on fp, both unringed, fon young not counted",,,,,,,,,
20201B114,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B115,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B116,b,Richard Cope,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B117,b,Richard Cope,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B118,b,Richard Cope,false,,6,true,06-06-2020,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B119,b,Richard Cope,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B12,b,Keith Mc Mahon,false,g,6,true,04-06-2020,,,23-04-2020,23,0,3,1.00,true,0,10-05-2020,11-05-2020,41,13,,,6,5,5,55,15,5,4,1,12.54,5,2,,vz30574,vz30574,,"tw77142, tw77143, tw77144, tw77141",,0,"missed weighing small clutch, not natched, nothing on fp, only female alarm calling nearby, not hatched",,,,,,,,,
20201B121,b,Richard Cope,false,b,6,true,01-06-2020,,,24-04-2020,24,0,4,1.00,true,0,12-05-2020,11-05-2020,41,12,5.10,4,6,6,6,55,15,6,0,6,10.78,6,2,j215805,avl5784,"01103fcf9f, avl5784",,,,0,"FON, FON",,,,,,,,,
20201B122,b,Richard Cope,false,b,6,true,28-05-2020,,,16-04-2020,16,0,7,1.00,true,0,07-05-2020,08-05-2020,38,14,4.80,4,9,6,6,52,15,6,0,6,10.12,6,2,afh3257,z101246,"z101246, 0110171d61",,,,0,"warm eggs, FON, FON",,,,,,,,,
20201B123,b,Richard Cope,false,g,6,true,30-05-2020,,,22-04-2020,22,0,4,,true,0,10-05-2020,09-05-2020,39,12,6.80,4,6,6,6,53,15,6,0,6,16.67,6,2,vz30961,ve32975,"ve32975, vz30961",,,,0,FON,,,,,,,,,
20201B124,b,Richard Cope,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B125,b,Richard Cope,false,g,6,true,30-05-2020,,,03-05-2020,33,0,2,,true,0,19-05-2020,20-05-2020,50,14,,,4,3,0,,,,2,0,,0,0,,,,,,,0,FON,,,,,,,,,
20201B126,b,Richard Cope,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B127,b,Keith Mc Mahon,false,b,6,true,04-06-2020,,,22-04-2020,22,0,3,1.00,true,0,12-05-2020,13-05-2020,43,14,3.80,3,8,8,8,57,15,8,0,8,10.16,8,3,j215807,j215817,"j215817, 01103fb6bc, 01103f9201",,,,0,"not hatched, not hatched",,,,,,,,,
20201B128,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B129,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B13,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B130,b,Keith Mc Mahon,false,b,6,true,04-06-2020,,,18-04-2020,18,0,1,,true,0,05-05-2020,07-05-2020,37,15,3.50,3,5,5,5,51,15,5,0,5,11.02,5,3,and7454,afh2697,"011016f0d0, afh2697, and7454",,,,0,"forgot to check today, not hatched",,,,,,,,,
20201B131,b,Keith Mc Mahon,false,b,6,true,04-06-2020,,,17-04-2020,17,0,6,0.33,true,0,08-05-2020,,,,3.10,3,9,,0,,,,0,0,,0,0,,,,,,,0,eggs cold,,,,,,,,,
20201B133,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B134,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B136,b,Keith Mc Mahon,false,b,6,true,27-05-2020,,,14-04-2020,14,0,7,0.50,true,0,06-05-2020,05-05-2020,35,12,3.20,3,10,7,7,49,15,7,0,7,10.57,7,2,avl3022,avl3024,"avl3022, avl3024",,,,0,"female unringed, nothing on fp",,,,,,,,,
20201B137,b,Keith Mc Mahon,false,,6,true,26-05-2020,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B138,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B139,b,Keith Mc Mahon,false,b,6,true,21-05-2020,,,12-04-2020,12,0,7,0.83,,0,,,,,3.27,3,9,,0,,,,0,0,,0,0,,,,,,,0,"still cold, still covered and cold, still cold, still cold",,,,,,,,,
20201B14,b,Keith Mc Mahon,false,,6,true,26-05-2020,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B140,b,Keith Mc Mahon,false,,6,true,26-05-2020,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B141,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B142,b,Keith Mc Mahon,false,g,6,true,29-05-2020,,,28-04-2020,28,0,2,1.00,true,0,16-05-2020,15-05-2020,45,12,5.60,3,6,6,0,,,,3,0,,0,3,,vz31162,"0700ed92bd, vz31162",,,,0,"no sign of male, chicks looked like ringing age",,,,,,,,,
20201B142A,b,Keith Mc Mahon,false,b,6,true,26-05-2020,,,10-05-2020,40,0,7,,true,0,26-05-2020,,,,,,4,,0,,,,0,0,,0,0,,,,,,,0,"female unringed, eggs cold",,,,,,,,,
20201B143,b,Keith Mc Mahon,false,,6,true,26-05-2020,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B144,b,Keith Mc Mahon,false,,6,true,26-05-2020,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B145,b,Keith Mc Mahon,false,g,6,true,16-06-2020,,,02-05-2020,32,5,6,,true,0,16-05-2020,23-05-2020,53,20,,,2,2,2,67,15,2,0,2,18.40,2,2,vb55885,vs84265,"vb55885, vs84265",,,,0,no catch,,,,,,,,,
20201B146,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B147,b,Keith Mc Mahon,false,b,6,true,04-06-2020,,,17-04-2020,17,0,6,1.00,true,0,10-05-2020,09-05-2020,39,12,3.20,3,11,11,11,53,15,11,1,10,9.97,11,2,and6874,avl3049,"01103f688c, avl3049",,avl3305,,0,female unringed,,,,,,,,,
20201B148,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B149,b,Keith Mc Mahon,false,b,6,true,24-05-2020,true,,17-04-2020,17,0,6,0.67,true,0,08-05-2020,10-05-2020,40,15,3.20,3,9,3,0,,,,0,0,,0,2,afh4130,,01103f87ac,,,,0,"male ringed, female unringed, not hatched, not hatched, fon no yn, front off the box nest gone. Had been there yesterday waiting for female but she didn't show and I never touched the box, perhaps GSW predation",,,,,,,,,
20201B15,b,Keith Mc Mahon,false,b,6,true,04-06-2020,,,14-04-2020,14,0,7,1.00,true,0,03-05-2020,03-05-2020,33,13,4.00,3,7,7,7,47,15,7,0,7,11.24,7,2,afh2618,avl3016,"01103f81d0, avl3016",,,,0,"small eggs but looks like greti, fon unringed, male",,,,,,,,,
20201B150,b,Keith Mc Mahon,false,g,6,true,04-06-2020,,,21-04-2020,21,0,3,,true,0,10-05-2020,09-05-2020,39,12,5.20,3,7,5,4,53,15,4,1,3,15.38,4,3,,tw41887,"0700ee0e3f, tw41887",,tw77102,,0,,,,,,,,,,
20201B151,b,Keith Mc Mahon,false,b,6,true,04-06-2020,,,24-04-2020,24,0,4,,true,0,13-05-2020,,,,3.60,3,7,,0,,,,0,0,,0,0,,,,,,,0,"female unringed, eggs cold",,,,,,,,,
20201B152,b,Keith Mc Mahon,false,b,6,true,04-06-2020,,,15-04-2020,15,0,6,,true,0,06-05-2020,07-05-2020,37,14,3.60,3,9,9,9,51,15,9,0,9,11.43,9,2,abj6260,,"01103f9f6d, abj6260",,,,0,"female unringed, not hathced, not hatched, male, female unringed",,,,,,,,,
20201B153,b,Keith Mc Mahon,false,g,6,true,04-06-2020,,,20-04-2020,20,0,6,1.00,true,1,10-05-2020,11-05-2020,41,14,5.50,3,8,5,5,55,15,5,0,5,15.76,5,2,,tr42599,tr42599,,,,0,"dropped one egg, not hatched fon, not hatched, faceplate died, no records, not hatched, only female alarm calling nearby",,,,,,,,,
20201B154,b,Keith Mc Mahon,false,,6,true,26-05-2020,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B155,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B156,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
