x,y,box type,section,nestbox
447796.72,207573.76,GT,B,B1
447805.72,207531.76,GT,B,B2
447845.72,207529.76,GT,B,B3
447845.72,207474.76,GT,B,B4
447829.72,207426.76,GT,B,B5
447795.72,207458.76,GT,B,B7
447775.72,207477.76,GT,B,B8
447762.72,207546.76,GT,B,B10
447748.72,207573.76,GT,B,B11
447764.69,207643.69,GT,B,B12
447721.72,207648.76,GT,B,B13
447778.72,207683.76,GT,B,B14
447811.72,207658.76,GT,B,B15
447829.72,207726.76,GT,B,B16
447895.72,207732.76,GT,B,B18
447946.72,207757.76,GT,B,B20
447972.72,207764.76,GT,B,B21
447949.72,207797.76,GT,B,B22
447871.72,207890.76,GT,B,B23
447850.72,207818.76,GT,B,B24
447847.72,207781.76,GT,B,B25
447793.72,207785.76,GT,B,B26
447787.72,207749.76,GT,B,B27
447745.72,207696.76,GT,B,B28
447720.72,207711.76,GT,B,B29
447699.72,207701.8,GT,B,B30
447707.72,207601.76,GT,B,B31
447671.72,207612.76,GT,B,B32
447656.72,207558.76,GT,B,B33
447690.72,207545.76,GT,B,B34
447668.72,207577.76,GT,B,B35
447687.72,207515.76,GT,B,B36
447626.72,207504.76,GT,B,B37
447613.72,207496.76,GT,B,B38
447589.54,207473.85,GT,B,B39
447566.31,207446.79,GT,B,B40
447521.72,207412.76,GT,B,B42
447567.72,207480.76,GT,B,B43
447530.23,207487.25,GT,B,B44
447522.72,207498.76,GT,B,B45
447552.72,207561.8,GT,B,B46
447547.72,207503.76,GT,B,B47
447574.72,207528.76,GT,B,B48
447581.72,207564.76,GT,B,B49
447646.72,207615.76,GT,B,B51
447605.72,207641.76,GT,B,B52
447587.72,207675.76,GT,B,B53
447542.72,207616.76,GT,B,B54
447532.72,207566.76,GT,B,B55
447510.72,207575.76,GT,B,B56
447524.72,207609.76,GT,B,B57
447502.72,207651.76,GT,B,B58
447501.72,207669.76,GT,B,B59
447455.72,207705.76,GT,B,B60
447393.72,207609.76,GT,B,B62
447393.72,207640.76,GT,B,B62A
447403.72,207584.76,GT,B,B63
447470.72,207550.76,GT,B,B64
447475.72,207556.76,GT,B,B65
447465.72,207511.76,GT,B,B66
447465.72,207469.76,GT,B,B67
447482.72,207455.76,GT,B,B68
447523.72,207365.76,GT,B,B69
447547.72,207358.76,GT,B,B70
447568.72,207405.76,GT,B,B71
447604.72,207421.76,GT,B,B72
447758.72,207448.76,GT,B,B75
447677.72,207683.76,GT,B,B76
447600.72,207733.76,GT,B,B77
447558.72,207725.76,GT,B,B78
447443.72,207758.76,GT,B,B79
447442.72,207741.76,GT,B,B79A
447446.72,207773.76,GT,B,B80
447433.72,207820.76,GT,B,B80A
447516.72,207786.76,GT,B,B81
447596.72,207823.76,GT,B,B84
447637.72,207880.76,GT,B,B85
447683.72,207911.8,GT,B,B86
447722.72,207967.76,GT,B,B87
447690.72,207999.76,GT,B,B88
447775.72,207982.76,GT,B,B89
447801.72,208023.76,GT,B,B90
447964.72,207749.76,GT,B,B91
447928.72,207740.76,GT,B,B92
447942.72,207699.76,GT,B,B93
447899.72,207709.76,GT,B,B94
447881.72,207674.76,GT,B,B95
447910.72,207638.76,GT,B,B96
447845.72,207605.76,GT,B,B97
447876.72,207609.76,GT,B,B98
447854.72,207583.76,GT,B,B99
447868.72,207555.76,GT,B,B99A
447811.72,207581.76,GT,B,B100
447802.72,207554.76,GT,B,B101
447821.72,207526.8,GT,B,B102
447834.72,207496.76,GT,B,B103
447838.32,207450.9,GT,B,B104
447818.72,207429.76,GT,B,B105
447800.72,207405.76,GT,B,B106
447777.74,207455.59,GT,B,B107
447807.72,207495.76,GT,B,B108
447798.72,207514.76,GT,B,B109
447773.72,207567.76,GT,B,B110
447749.72,207600.76,GT,B,B111
447766.72,207641.76,GT,B,B112
447736.72,207671.76,GT,B,B113
447784.72,207706.76,GT,B,B114
447806.72,207691.76,GT,B,B115
447853.72,207707.76,GT,B,B116
447847.72,207748.76,GT,B,B117
447876.72,207747.76,GT,B,B118
447917.72,207770.76,GT,B,B119
447972.72,207792.76,GT,B,B121
447907.72,207820.76,GT,B,B122
447860.72,207831.76,GT,B,B123
447837.72,207800.76,GT,B,B124
447825.72,207780.76,GT,B,B125
447801.72,207750.76,GT,B,B126
447741.72,207722.76,GT,B,B127
447731.72,207685.76,GT,B,B128
447715.72,207690.76,GT,B,B129
447703.72,207669.76,GT,B,B130
447699.72,207631.8,GT,B,B131
447691.72,207564.76,GT,B,B133
447697.72,207541.76,GT,B,B134
447668.72,207519.76,GT,B,B136
447627.72,207477.76,GT,B,B137
447590.72,207502.76,GT,B,B138
447604.85,207443.79,GT,B,B139
447545.19,207427.29,GT,B,B140
447526.72,207414.76,GT,B,B141
447504.72,207456.76,GT,B,B142
447515.72,207445.76,GT,B,B142A
447534.72,207473.76,GT,B,B143
447505.72,207485.76,GT,B,B144
447527.72,207497.76,GT,B,B145
447556.72,207510.76,GT,B,B146
447564.72,207496.76,GT,B,B147
447596.72,207543.76,GT,B,B148
447634.72,207592.76,GT,B,B149
447611.72,207617.76,GT,B,B150
447645.72,207634.76,GT,B,B151
447591.72,207643.76,GT,B,B152
447547.72,207642.76,GT,B,B153
447536.72,207584.76,GT,B,B154
447492.72,207530.76,GT,B,B155
447509.72,207593.76,GT,B,B156
447520.72,207641.76,GT,B,B157
447532.72,207680.76,GT,B,B158
447479.24,207694.76,GT,B,B159
447455.72,207669.76,GT,B,B160
447430.72,207645.76,GT,B,B161
447425.72,207600.76,GT,B,B162
447469.72,207578.76,GT,B,B163
447438.72,207559.76,GT,B,B164
447457.72,207519.76,GT,B,B165
447460.72,207498.76,GT,B,B166
447496.72,207427.76,GT,B,B168
447515.72,207380.76,GT,B,B169
447556.72,207397.76,GT,B,B170
447554.72,207377.76,GT,B,B170A
